Datetime,ssrdc,ssrd,t2m,u10,v10
2023-01-01 07:00:00,0.0,0.0,287.04565,0.118699074,-0.23223019
2023-01-01 07:15:00,16.477253,12.468056,287.58582,0.12475443,-0.22792673
2023-01-01 07:30:00,32.954506,24.936111,288.12598,0.13080978,-0.22362328
2023-01-01 07:45:00,49.43176,37.404167,288.66614,0.13686514,-0.21931982
2023-01-01 08:00:00,65.90901,49.872223,289.2063,0.1429205,-0.21501637
2023-01-01 08:15:00,114.550125,84.324844,289.786,-0.08237624,-0.123048306
2023-01-01 08:30:00,163.19125,118.777466,290.36572,-0.30767298,-0.031080246
2023-01-01 08:45:00,211.83237,153.23009,290.94543,-0.5329697,0.060887814
2023-01-01 09:00:00,260.47348,187.68271,291.52515,-0.75826645,0.15285587
2023-01-01 09:15:00,311.08752,239.01761,291.93396,-0.895617,0.3508246
2023-01-01 09:30:00,361.7016,290.35248,292.34277,-1.0329676,0.5487933
2023-01-01 09:45:00,412.31567,341.68738,292.7516,-1.1703181,0.74676204
2023-01-01 10:00:00,462.92972,393.02228,293.1604,-1.3076687,0.94473076
2023-01-01 10:15:00,504.19223,431.5575,293.45593,-1.3582883,0.9438205
2023-01-01 10:30:00,545.4547,470.09268,293.75146,-1.4089079,0.9429102
2023-01-01 10:45:00,586.7172,508.62787,294.047,-1.4595275,0.9419999
2023-01-01 11:00:00,627.97974,547.1631,294.34253,-1.5101471,0.94108963
2023-01-01 11:15:00,654.6034,533.27155,294.44714,-1.5673065,0.8968842
2023-01-01 11:30:00,681.22705,519.38,294.55176,-1.624466,0.8526788
2023-01-01 11:45:00,707.85077,505.4885,294.65637,-1.6816254,0.80847335
2023-01-01 12:00:00,734.4744,491.59695,294.761,-1.7387848,0.7642679
2023-01-01 12:15:00,743.13904,486.44833,294.81683,-1.7732782,0.7847724
2023-01-01 12:30:00,751.8036,481.29974,294.87268,-1.8077717,0.8052769
2023-01-01 12:45:00,760.46814,476.15112,294.92853,-1.8422651,0.82578135
2023-01-01 13:00:00,769.13275,471.0025,294.98438,-1.8767586,0.8462858
