Datetime,ssrdc,ssrd,t2m
2023-01-01 07:00:00,0.0,0.0,
2023-01-01 07:15:00,19.139475,16.69139,
2023-01-01 07:30:00,38.27895,33.38278,
2023-01-01 07:45:00,57.418427,50.074165,
2023-01-01 08:00:00,76.5579,66.76556,
2023-01-01 08:15:00,126.25236,108.22929,
2023-01-01 08:30:00,175.94681,149.69302,
2023-01-01 08:45:00,225.64127,191.15675,
2023-01-01 09:00:00,275.33572,232.62048,
2023-01-01 09:15:00,325.452,280.85428,
2023-01-01 09:30:00,375.5683,329.08807,
2023-01-01 09:45:00,425.68457,377.32184,
2023-01-01 10:00:00,475.80084,425.55563,
2023-01-01 10:15:00,515.69,460.41083,
2023-01-01 10:30:00,555.57916,495.266,
2023-01-01 10:45:00,595.4683,530.1212,
2023-01-01 11:00:00,635.3575,564.9764,
2023-01-01 11:15:00,660.0834,581.9915,
2023-01-01 11:30:00,684.8093,599.00665,
2023-01-01 11:45:00,709.5352,616.0218,
2023-01-01 12:00:00,734.2611,633.0369,
2023-01-01 12:15:00,741.5123,623.7372,
2023-01-01 12:30:00,748.7636,614.4375,
2023-01-01 12:45:00,756.0149,605.1378,
2023-01-01 13:00:00,763.2661,595.8381,
2023-01-01 13:15:00,752.6632,601.59503,
2023-01-01 13:30:00,742.0603,607.3519,
2023-01-01 13:45:00,731.45734,613.1089,
2023-01-01 14:00:00,720.85443,618.86584,
2023-01-01 14:15:00,692.7067,582.26117,
2023-01-01 14:30:00,664.559,545.65656,
2023-01-01 14:45:00,636.4113,509.05188,
2023-01-01 15:00:00,608.2636,472.44724,
2023-01-01 15:15:00,565.8951,414.1096,
2023-01-01 15:30:00,523.52655,355.77194,
2023-01-01 15:45:00,481.158,297.4343,
2023-01-01 16:00:00,438.78946,239.09666,
2023-01-01 16:15:00,387.86487,228.23846,
2023-01-01 16:30:00,336.94028,217.38028,
2023-01-01 16:45:00,286.0157,206.5221,
2023-01-01 17:00:00,235.09111,195.6639,
2023-01-01 17:15:00,188.10194,156.85126,
2023-01-01 17:30:00,141.11278,118.03861,
2023-01-01 17:45:00,94.12361,79.225975,
2023-01-01 18:00:00,47.134445,40.413334,
2023-01-01 18:15:00,35.350834,30.310001,
2023-01-01 18:30:00,23.567223,20.206667,
2023-01-01 18:45:00,11.783611,10.103333,
2023-01-01 19:00:00,0.0,0.0,
2023-01-02 07:00:00,0.0,0.0,
2023-01-02 07:15:00,21.101637,21.242105,
2023-01-02 07:30:00,42.203274,42.48421,
2023-01-02 07:45:00,63.30491,63.72632,
2023-01-02 08:00:00,84.40655,84.96842,
2023-01-02 08:15:00,137.0649,137.93599,
2023-01-02 08:30:00,189.72324,190.90355,
2023-01-02 08:45:00,242.38158,243.87112,
2023-01-02 09:00:00,295.03992,296.83868,
2023-01-02 09:15:00,346.3238,347.9317,
2023-01-02 09:30:00,397.6077,399.02472,
2023-01-02 09:45:00,448.8916,450.11774,
2023-01-02 10:00:00,500.17548,501.21075,
2023-01-02 10:15:00,540.445,541.603,
2023-01-02 10:30:00,580.71454,581.99524,
2023-01-02 10:45:00,620.9841,622.3875,
2023-01-02 11:00:00,661.2536,662.7798,
2023-01-02 11:15:00,686.33014,688.6174,
2023-01-02 11:30:00,711.4066,714.45496,
2023-01-02 11:45:00,736.48315,740.29254,
2023-01-02 12:00:00,761.5597,766.1301,
2023-01-02 12:15:00,769.1386,773.526,
2023-01-02 12:30:00,776.7175,780.9219,
2023-01-02 12:45:00,784.2964,788.31775,
2023-01-02 13:00:00,791.8753,795.7136,
2023-01-02 13:15:00,781.24194,784.046,
2023-01-02 13:30:00,770.60864,772.3785,
2023-01-02 13:45:00,759.9753,760.71094,
2023-01-02 14:00:00,749.3419,749.04333,
2023-01-02 14:15:00,721.3142,721.8902,
2023-01-02 14:30:00,693.2865,694.73706,
2023-01-02 14:45:00,665.25885,667.584,
2023-01-02 15:00:00,637.23114,640.43085,
2023-01-02 15:15:00,594.5122,597.36285,
2023-01-02 15:30:00,551.7932,554.29486,
2023-01-02 15:45:00,509.07425,511.22687,
2023-01-02 16:00:00,466.3553,468.15887,
2023-01-02 16:15:00,413.768,415.90527,
2023-01-02 16:30:00,361.1807,363.65167,
2023-01-02 16:45:00,308.59338,311.39804,
2023-01-02 17:00:00,256.0061,259.14444,
2023-01-02 17:15:00,205.37833,207.87334,
2023-01-02 17:30:00,154.75055,156.60222,
2023-01-02 17:45:00,104.12277,105.33111,
2023-01-02 18:00:00,53.495,54.06,
2023-01-02 18:15:00,40.12125,40.545002,
2023-01-02 18:30:00,26.7475,27.03,
2023-01-02 18:45:00,13.37375,13.515,
2023-01-02 19:00:00,0.0,0.0,
2023-01-03 07:00:00,0.0,0.0,
2023-01-03 07:15:00,20.275703,20.681858,
2023-01-03 07:30:00,40.551407,41.363716,
2023-01-03 07:45:00,60.82711,62.045574,
2023-01-03 08:00:00,81.10281,82.72743,
2023-01-03 08:15:00,132.50095,133.48201,
2023-01-03 08:30:00,183.89908,184.2366,
2023-01-03 08:45:00,235.29721,234.99118,
2023-01-03 09:00:00,286.69534,285.74576,
2023-01-03 09:15:00,336.87695,330.21503,
2023-01-03 09:30:00,387.0586,374.68427,
2023-01-03 09:45:00,437.24023,419.1535,
2023-01-03 10:00:00,487.42184,463.62277,
2023-01-03 10:15:00,526.82153,504.36752,
2023-01-03 10:30:00,566.2212,545.1123,
