Datetime,ssrdc,ssrd,t2m,v10,u10
2023-01-01 07:00:00,0.0,0.0,290.48462,-0.7585974,-0.52632046
2023-01-01 08:00:00,101.93124,90.44556,292.17358,-1.2054949,-0.47353458
2023-01-01 09:00:00,315.94458,307.92715,295.27612,-0.9018316,-0.19161606
2023-01-01 10:00:00,521.23193,519.209,297.33472,-0.90146065,-0.47319603
2023-01-01 11:00:00,681.88196,680.7808,298.55884,-0.36848068,-0.4393463
2023-01-01 12:00:00,780.44775,776.5747,299.48413,-0.12342739,-0.33399963
2023-01-01 13:00:00,808.4928,805.4025,300.24854,-0.48598957,-0.53642654
2023-01-01 14:00:00,763.91223,749.56805,300.82202,-0.8294115,-0.70787907
2023-01-01 15:00:00,649.8992,605.6383,300.9585,-0.9661226,-0.46937656
2023-01-01 16:00:00,477.50943,472.9811,300.97363,-1.0018291,-0.0885458
2023-01-01 17:00:00,266.16666,265.6372,300.36548,-0.7253151,0.38635254
2023-01-01 18:00:00,60.503334,60.395557,297.4336,0.033703804,1.8404188
2023-01-01 19:00:00,0.0,0.0,296.94263,0.09155369,1.1614275
2023-01-01 20:00:00,,,295.5039,-0.02354908,1.010622
2023-01-01 21:00:00,,,295.55322,-0.22643185,0.33172894
2023-01-01 22:00:00,,,294.58838,-0.4509344,-0.7172365
2023-01-01 23:00:00,,,292.29272,-0.95283985,-1.427556
2023-01-02 00:00:00,,,291.34204,-1.0224142,-1.6279583
2023-01-02 01:00:00,,,291.06152,-0.81172657,-1.5518885
2023-01-02 02:00:00,,,290.97363,-0.75511837,-1.3267555
2023-01-02 03:00:00,,,290.35107,-0.88055134,-1.0839071
2023-01-02 04:00:00,,,289.23145,-1.0284767,-0.86991405
2023-01-02 05:00:00,,,288.66943,-0.9863434,-0.7662306
2023-01-02 06:00:00,,,288.43115,-0.76811314,-0.82615566
2023-01-02 07:00:00,0.0,0.0,287.2849,-1.0728264,-0.5441208
2023-01-02 08:00:00,104.45099,104.84398,289.7566,-1.0630922,-0.3902378
2023-01-02 09:00:00,318.79105,318.332,293.59912,-0.6886549,-0.14594269
2023-01-02 10:00:00,520.611,517.833,296.62158,-0.71026516,-0.095336914
2023-01-02 11:00:00,676.0269,676.8953,298.5381,-0.7343731,-0.25533676
2023-01-02 12:00:00,769.23975,758.80566,299.72803,-0.5356674,-0.047058105
2023-01-02 13:00:00,792.9064,759.8025,300.51758,-0.47401333,0.24406338
2023-01-02 14:00:00,745.14636,667.19446,300.9436,-0.5492401,0.38549328
2023-01-02 15:00:00,630.0845,579.8442,301.2141,-0.56848145,0.34566784
2023-01-02 16:00:00,457.96417,413.0478,301.11548,-0.47803116,0.19750214
2023-01-02 17:00:00,250.31721,235.82,300.6316,-0.1834774,0.34428883
2023-01-02 18:00:00,55.343887,54.344444,298.17773,0.56851673,1.3931446
2023-01-02 19:00:00,0.0,0.0,296.7151,0.56166935,1.3160038
2023-01-02 20:00:00,,,295.64282,0.4992609,1.0454855
2023-01-02 21:00:00,,,294.8794,0.3898449,0.8564615
2023-01-02 22:00:00,,,295.41528,0.35813904,0.05070114
2023-01-02 23:00:00,,,294.65894,0.11705589,-0.91466236
2023-01-03 00:00:00,,,293.60815,0.035720825,-1.3276529
2023-01-03 01:00:00,,,292.97876,-0.16070652,-1.4476843
2023-01-03 02:00:00,,,292.47095,-0.59865475,-1.2630281
2023-01-03 03:00:00,,,291.6941,-1.0402622,-0.8638191
2023-01-03 04:00:00,,,291.2141,-1.0979452,-0.53630257
2023-01-03 05:00:00,,,290.9016,-0.9458456,-0.41374874
2023-01-03 06:00:00,,,290.76953,-0.7475586,-0.34236717
2023-01-03 07:00:00,0.0,0.0,290.98853,-0.8484955,-0.37269878
2023-01-03 08:00:00,87.68059,77.211876,292.99634,-1.1022587,0.09573841
2023-01-03 09:00:00,284.26868,244.77243,295.57544,-0.9621515,0.21503544
2023-01-03 10:00:00,479.73294,422.50278,297.9126,-1.1643162,0.2924738
2023-01-03 11:00:00,634.6561,545.17957,299.38354,-1.123251,0.030831337
2023-01-03 12:00:00,730.0808,613.60333,300.37744,-0.90036297,0.077586174
2023-01-03 13:00:00,757.2695,637.01556,301.1604,-0.82051945,0.15033245
2023-01-03 14:00:00,710.4636,537.0208,301.58032,-0.64755344,0.182765
2023-01-03 15:00:00,594.05084,303.09668,301.38965,-0.51176834,0.67743015
2023-01-03 16:00:00,427.56528,170.39473,301.02954,-0.44886398,1.0535259
2023-01-03 17:00:00,231.11555,130.0536,300.73096,-0.3472948,1.1288099
2023-01-03 18:00:00,51.328335,29.264444,298.98145,0.18620777,1.2669353
2023-01-03 19:00:00,0.0,0.0,298.21143,-0.5830631,1.2386265
2023-01-03 20:00:00,,,298.55078,-0.60887337,0.99425125
2023-01-03 21:00:00,,,298.1787,-0.6931982,0.41962624
2023-01-03 22:00:00,,,297.58423,-0.7230005,0.17639065
2023-01-03 23:00:00,,,296.40576,-1.2242918,0.074588776
2023-01-04 00:00:00,,,296.1211,-0.8718691,-0.6412859
2023-01-04 01:00:00,,,295.4143,-0.52396107,-1.092845
2023-01-04 02:00:00,,,294.60815,-0.4332161,-1.394578
2023-01-04 03:00:00,,,293.95947,-0.25586224,-1.6690559
2023-01-04 04:00:00,,,293.3015,-0.17912579,-1.7620525
2023-01-04 05:00:00,,,292.82227,-0.37636185,-1.601654
2023-01-04 06:00:00,,,292.35913,-0.727417,-1.2002211
2023-01-04 07:00:00,0.0,0.0,292.23413,-0.8874798,-0.61217403
2023-01-04 08:00:00,95.13583,89.89196,294.64453,-0.8948097,-0.65695286
2023-01-04 09:00:00,302.12625,256.88724,297.50513,-0.6320801,-0.43218613
2023-01-04 10:00:00,503.2285,488.58148,299.7307,-0.84199333,-0.69866467
2023-01-04 11:00:00,662.1425,639.5218,301.0464,-1.1547012,-0.6054611
2023-01-04 12:00:00,761.19086,730.44916,301.9458,-1.2550039,-0.30801105
2023-01-04 13:00:00,790.6364,716.4561,302.6377,-1.0868206,-0.322505
2023-01-04 14:00:00,748.04834,709.6175,303.21753,-0.76837254,-0.2757721
2023-01-04 15:00:00,636.0861,379.4689,302.92383,-0.4721012,0.5303173
2023-01-04 16:00:00,467.79416,310.93723,302.85718,-0.53778744,1.0017204
2023-01-04 17:00:00,263.00223,212.53694,302.3723,-0.70695496,1.2622986
2023-01-04 18:00:00,62.59111,56.16028,299.76,-0.34882355,1.639328
2023-01-04 19:00:00,0.0,0.07722222,299.10913,0.22233391,1.9847765
2023-01-04 20:00:00,,,298.82373,0.2014761,1.7012854
2023-01-04 21:00:00,,,298.43213,0.2522297,1.1711416
2023-01-04 22:00:00,,,297.50024,0.051278114,0.9955931
2023-01-04 23:00:00,,,297.41626,-0.39727116,-0.09414005
2023-01-05 00:00:00,,,296.49976,-0.31616592,-0.72723866
2023-01-05 01:00:00,,,294.79712,-0.51218796,-1.1962147
2023-01-05 02:00:00,,,293.96558,-0.39221478,-1.502841
2023-01-05 03:00:00,,,293.70752,-0.16930962,-1.5711889
2023-01-05 04:00:00,,,293.89526,-0.3063507,-1.2797232
2023-01-05 05:00:00,,,293.53613,-0.48831844,-0.6189871
2023-01-05 06:00:00,,,292.51978,-0.5391731,-0.45435238
2023-01-05 07:00:00,0.0,0.0,291.7727,-0.9771538,-0.7314482
2023-01-05 08:00:00,98.15219,97.303894,293.95312,-0.7168827,-0.46375084
2023-01-05 09:00:00,310.18918,305.10056,297.17676,-0.39440632,-0.09079838
2023-01-05 10:00:00,513.7242,510.4552,299.50513,-0.22816944,-0.33335876
2023-01-05 11:00:00,673.45416,670.3809,300.93018,-0.1576271,-0.4677868
2023-01-05 12:00:00,772.582,772.79724,301.96777,-0.42350483,-0.340518
2023-01-05 13:00:00,802.24945,801.8225,302.72095,-0.73638344,-0.3517828
2023-01-05 14:00:00,759.14386,756.1811,303.3191,-0.9553375,-0.6234503
2023-01-05 15:00:00,647.58777,644.275,303.6477,-0.9836912,-0.8376131
2023-01-05 16:00:00,478.0128,470.82693,303.61035,-0.88177776,-1.0473785
2023-01-05 17:00:00,269.90668,261.87332,302.98462,-0.5182543,-0.74901867
2023-01-05 18:00:00,65.272224,62.174446,301.5708,-0.12574005,-0.40665817
2023-01-05 19:00:00,0.0,0.0,300.61182,0.1357317,-0.036213875
2023-01-05 20:00:00,,,298.74536,-0.14642906,0.1222868
2023-01-05 21:00:00,,,297.6399,-0.43494797,0.08513737
2023-01-05 22:00:00,,,296.81274,-0.6990013,-1.092021
2023-01-05 23:00:00,,,295.3828,-0.53987885,-1.8098373
2023-01-06 00:00:00,,,295.05933,-0.3174696,-1.9452658
2023-01-06 01:00:00,,,294.28735,-0.10280228,-1.7539797
2023-01-06 02:00:00,,,293.26245,-0.10825443,-2.2110214
2023-01-06 03:00:00,,,293.68408,-0.55242634,-1.4863358
2023-01-06 04:00:00,,,292.95825,-0.782217,-0.9244938
2023-01-06 05:00:00,,,292.01074,-0.96057224,-0.85254097
2023-01-06 06:00:00,,,291.34082,-1.1768417,-1.0381489
2023-01-06 07:00:00,0.0,0.0,290.70532,-1.0636425,-1.026289
2023-01-06 08:00:00,97.10389,97.45476,293.04443,-1.3825998,-1.117466
2023-01-06 09:00:00,308.98236,309.32632,296.3015,-1.0189009,-0.7234602
2023-01-06 10:00:00,513.59625,513.8016,298.48633,-1.2399092,-1.5341816
2023-01-06 11:00:00,675.5897,676.21234,299.97998,-1.3135614,-1.5135002
2023-01-06 12:00:00,777.2072,778.55444,301.1294,-1.3337116,-1.4965143
2023-01-06 13:00:00,807.7511,814.66864,302.0161,-1.2804766,-1.8840427
2023-01-06 14:00:00,765.0489,768.86804,302.5974,-1.0572138,-2.43079
2023-01-06 15:00:00,652.89307,643.5036,302.88892,-0.7807512,-2.9439583
2023-01-06 16:00:00,482.4864,421.4803,302.50195,-0.6462679,-3.0209703
2023-01-06 17:00:00,273.21,221.97556,301.6765,-0.46273136,-2.0848665
2023-01-06 18:00:00,66.96333,56.29222,299.07495,-0.7659254,-1.7801933
2023-01-06 19:00:00,0.0,0.0,298.1184,-1.0312786,-1.6435919
2023-01-06 20:00:00,,,298.23486,-0.7691717,-1.8600941
2023-01-06 21:00:00,,,297.8872,-0.404891,-2.1661854
2023-01-06 22:00:00,,,297.3872,0.06091404,-2.261592
2023-01-06 23:00:00,,,296.67358,0.37179947,-2.1111145
2023-01-07 00:00:00,,,295.81055,0.43618965,-1.9271183
2023-01-07 01:00:00,,,294.66626,0.31095123,-1.8513613
2023-01-07 02:00:00,,,293.7444,-0.006123543,-2.1097794
2023-01-07 03:00:00,,,292.88965,-0.87390804,-1.8089705
2023-01-07 04:00:00,,,292.22412,-1.3944759,-0.8319845
2023-01-07 05:00:00,,,291.86206,-1.2064934,-0.29707623
2023-01-07 06:00:00,,,291.30884,-1.2213182,-0.18906784
2023-01-07 07:00:00,0.0,0.0,291.2798,-1.1996107,-0.3162794
2023-01-07 08:00:00,91.334465,89.724396,293.09644,-1.6964331,-0.15397358
2023-01-07 09:00:00,295.59326,289.96054,295.54395,-1.7484875,-0.18455315
2023-01-07 10:00:00,494.95087,491.17944,297.30347,-1.887557,-0.6952982
2023-01-07 11:00:00,653.4986,652.5023,298.71826,-1.6411629,-0.84459877
2023-01-07 12:00:00,753.2172,750.87164,299.8235,-1.4720707,-0.8820772
2023-01-07 13:00:00,783.1939,782.19696,300.6914,-1.4226456,-0.84990215
2023-01-07 14:00:00,741.4536,729.19305,301.3828,-1.4858665,-1.0669727
2023-01-07 15:00:00,630.63025,572.9475,301.71826,-1.2791834,-1.1167173
2023-01-07 16:00:00,462.15222,384.01083,301.6604,-0.8956356,-1.204073
2023-01-07 17:00:00,258.03223,233.59334,301.24634,-0.41087246,-0.53497124
2023-01-07 18:00:00,62.32111,61.05722,298.7046,0.10709667,1.3996792
2023-01-07 19:00:00,0.0,0.0,296.9973,-0.21343708,1.8062258
2023-01-07 20:00:00,,,297.06763,-0.38068295,1.5961218
2023-01-07 21:00:00,,,296.50708,-0.44670296,0.9188547
2023-01-07 22:00:00,,,295.3501,-0.399724,0.9846468
2023-01-07 23:00:00,,,294.04858,-0.46391392,0.77045155
2023-01-08 00:00:00,,,293.3296,-0.7230406,0.6441288
2023-01-08 01:00:00,,,292.74878,-0.89895535,0.38942242
2023-01-08 02:00:00,,,292.3291,-0.87883663,0.2357912
2023-01-08 03:00:00,,,291.88745,-1.0248919,0.20054722
2023-01-08 04:00:00,,,291.4358,-0.98854256,-0.042619705
2023-01-08 05:00:00,,,290.98438,-0.87421036,-0.20291615
2023-01-08 06:00:00,,,290.68628,-0.8538799,-0.12804699
2023-01-08 07:00:00,0.0,0.0,290.61035,-1.589159,0.21675587
2023-01-08 08:00:00,89.84998,88.36701,292.87988,-2.131216,0.47309494
2023-01-08 09:00:00,294.18875,292.6328,295.5376,-2.1091824,0.4551897
2023-01-08 10:00:00,494.906,493.8387,297.8247,-2.456068,0.1412344
2023-01-08 11:00:00,654.14276,657.0264,299.70337,-2.3558826,-0.20765114
2023-01-08 12:00:00,753.5964,748.5319,301.0183,-2.1243486,-0.2534523
2023-01-08 13:00:00,783.66223,754.10693,301.88452,-2.0536919,-0.13332558
2023-01-08 14:00:00,741.99084,684.91364,302.38037,-1.9348364,-0.071352005
2023-01-08 15:00:00,632.2083,582.5489,302.62036,-1.619957,-0.05655384
2023-01-08 16:00:00,464.99527,436.71362,302.55786,-1.1409092,0.0079193115
2023-01-08 17:00:00,260.33835,209.19444,301.9248,-0.5284586,0.37382603
2023-01-08 18:00:00,63.78,50.22222,299.79028,0.20537853,1.5251064
2023-01-08 19:00:00,0.0,0.0,298.5879,0.23820305,1.1440353
2023-01-08 20:00:00,,,298.6682,0.09562111,1.2206192
2023-01-08 21:00:00,,,298.0354,-0.39080715,1.2777681
2023-01-08 22:00:00,,,297.2827,-0.94714355,0.92542744
2023-01-08 23:00:00,,,296.90894,-1.2256689,0.46964836
2023-01-09 00:00:00,,,296.51807,-1.2733574,0.42969322
2023-01-09 01:00:00,,,296.29565,-1.4277897,0.49140167
2023-01-09 02:00:00,,,296.0078,-1.3589916,0.37716103
2023-01-09 03:00:00,,,295.4602,-1.2124252,0.17620659
2023-01-09 04:00:00,,,294.65454,-1.1627302,-0.019641876
2023-01-09 05:00:00,,,294.09717,-1.2487316,-0.045562744
2023-01-09 06:00:00,,,293.77783,-1.3456154,0.036361694
2023-01-09 07:00:00,0.0,0.0,294.6587,-1.3528585,0.01863861
2023-01-09 08:00:00,90.1946,72.95646,295.79443,-1.646821,0.23822212
2023-01-09 09:00:00,296.32535,189.50116,297.37573,-1.5783215,0.52029705
2023-01-09 10:00:00,498.57425,412.7629,299.24512,-2.0178003,0.45903778
2023-01-09 11:00:00,658.70447,551.22614,300.55566,-2.0985518,0.3379469
2023-01-09 12:00:00,759.43665,708.82556,301.74463,-1.9622164,0.2516594
2023-01-09 13:00:00,790.50806,765.99554,302.54688,-1.7570038,0.27335835
2023-01-09 14:00:00,749.0564,718.8453,303.04248,-1.5475254,0.2748537
2023-01-09 15:00:00,638.87805,582.86,303.32837,-1.1646929,0.11294556
2023-01-09 16:00:00,470.50333,398.2628,303.16992,-0.70737267,0.28123856
2023-01-09 17:00:00,264.93112,216.0725,302.73608,-0.3520012,0.690506
2023-01-09 18:00:00,66.344444,57.793888,300.54517,0.11065292,1.4836874
2023-01-09 19:00:00,0.0,0.0,299.41895,-0.123295784,1.6482096
2023-01-09 20:00:00,,,299.63843,-0.22115517,0.95692635
2023-01-09 21:00:00,,,298.83276,-0.21265602,0.7364311
2023-01-09 22:00:00,,,298.1438,0.076384544,0.8370533
2023-01-09 23:00:00,,,297.8081,0.31774235,0.6795111
2023-01-10 00:00:00,,,297.35596,0.14792633,0.6101074
2023-01-10 01:00:00,,,296.9043,-0.27294254,0.56351566
2023-01-10 02:00:00,,,296.57056,-0.5472021,0.4411459
2023-01-10 03:00:00,,,296.42236,-0.60351944,0.23520947
2023-01-10 04:00:00,,,296.06372,-0.7002735,0.20570087
2023-01-10 05:00:00,,,295.844,-0.706625,0.19481087
2023-01-10 06:00:00,,,295.88037,-0.68063164,0.18296432
2023-01-10 07:00:00,0.0,0.0,294.59985,-0.96694756,0.06692982
2023-01-10 08:00:00,82.90788,50.774063,296.51807,-1.2505398,0.18256664
2023-01-10 09:00:00,281.5524,196.36943,298.6057,-0.99417686,0.2965126
2023-01-10 10:00:00,482.56778,312.7512,300.05054,-1.0985584,0.5392904
2023-01-10 11:00:00,644.76025,536.35834,301.64526,-1.2893181,0.727108
2023-01-10 12:00:00,747.48224,679.24615,302.70703,-1.2882414,0.61791706
