Datetime,ssrdc,ssrd,t2m
2023-01-01 07:00:00,0.0,0.0,292.58765
2023-01-01 08:00:00,181.93123,147.16556,294.50757
2023-01-01 09:00:00,408.6379,266.90494,296.08716
2023-01-01 10:00:00,610.0675,450.32007,297.92798
2023-01-01 11:00:00,761.9353,693.5808,299.8733
2023-01-01 12:00:00,847.89667,818.6014,301.1521
2023-01-01 13:00:00,859.195,837.54474,301.78125
2023-01-01 14:00:00,796.16113,739.3992,301.9646
2023-01-01 15:00:00,665.82806,550.66943,301.88184
2023-01-01 16:00:00,480.06946,338.86557,301.53955
2023-01-01 17:00:00,260.58444,205.54834,300.35327
2023-01-01 18:00:00,55.31222,42.12,299.1504
2023-01-01 19:00:00,0.0,0.0,296.54565
2023-01-01 20:00:00,,,296.76465
2023-01-01 21:00:00,,,296.12158
2023-01-01 22:00:00,,,295.45703
2023-01-01 23:00:00,,,294.81226
2023-01-02 00:00:00,,,294.33032
2023-01-02 01:00:00,,,293.9912
2023-01-02 02:00:00,,,293.67627
2023-01-02 03:00:00,,,293.61914
2023-01-02 04:00:00,,,293.54004
2023-01-02 05:00:00,,,293.56982
2023-01-02 06:00:00,,,293.47363
2023-01-02 07:00:00,0.0,0.0,294.239
2023-01-02 08:00:00,176.61543,147.27509,295.68433
2023-01-02 09:00:00,397.67548,274.32755,296.93066
2023-01-02 10:00:00,595.3044,378.17966,298.1372
2023-01-02 11:00:00,743.1914,553.6242,299.62012
2023-01-02 12:00:00,828.19086,527.5168,300.1548
2023-01-02 13:00:00,842.6486,724.6736,301.34473
2023-01-02 14:00:00,784.1508,721.8078,301.9402
2023-01-02 15:00:00,657.853,610.1375,301.6775
2023-01-02 16:00:00,474.35556,390.14972,300.74194
2023-01-02 17:00:00,256.255,211.64278,299.43872
2023-01-02 18:00:00,54.241665,47.66,297.23535
2023-01-02 19:00:00,0.0,0.0,296.4026
2023-01-02 20:00:00,,,296.44946
2023-01-02 21:00:00,,,295.71338
2023-01-02 22:00:00,,,295.06763
2023-01-02 23:00:00,,,294.70972
2023-01-03 00:00:00,,,294.385
2023-01-03 01:00:00,,,294.13403
2023-01-03 02:00:00,,,293.8772
2023-01-03 03:00:00,,,293.70874
2023-01-03 04:00:00,,,293.53882
2023-01-03 05:00:00,,,293.4402
2023-01-03 06:00:00,,,293.29346
2023-01-03 07:00:00,0.0,0.0,293.7141
2023-01-03 08:00:00,178.15614,172.6341,296.0056
2023-01-03 09:00:00,402.0509,405.22577,298.38354
2023-01-03 10:00:00,601.804,599.00055,300.25684
2023-01-03 11:00:00,752.0783,731.3663,301.54272
2023-01-03 12:00:00,837.4053,767.4167,302.2871
2023-01-03 13:00:00,851.33167,755.9489,302.14478
2023-01-03 14:00:00,792.9525,719.98975,302.18628
2023-01-03 15:00:00,667.1889,617.4792,302.30518
2023-01-03 16:00:00,485.27167,447.65668,301.93726
2023-01-03 17:00:00,266.49335,239.3511,300.83545
2023-01-03 18:00:00,58.90167,52.73111,297.9502
2023-01-03 19:00:00,0.0,0.0,297.34766
2023-01-03 20:00:00,,,297.10156
2023-01-03 21:00:00,,,296.5581
2023-01-03 22:00:00,,,295.96167
2023-01-03 23:00:00,,,295.47803
2023-01-04 00:00:00,,,295.1006
2023-01-04 01:00:00,,,294.80444
2023-01-04 02:00:00,,,294.65552
2023-01-04 03:00:00,,,294.41406
2023-01-04 04:00:00,,,294.37915
2023-01-04 05:00:00,,,294.1787
2023-01-04 06:00:00,,,293.93042
2023-01-04 07:00:00,0.0,0.0,294.13257
2023-01-04 08:00:00,176.73584,177.03864,296.04028
2023-01-04 09:00:00,402.6329,406.07834,298.14746
2023-01-04 10:00:00,604.3396,613.0082,300.14282
2023-01-04 11:00:00,755.83136,757.01514,301.6709
2023-01-04 12:00:00,842.70197,834.30695,302.6211
2023-01-04 13:00:00,858.01416,831.22943,303.0454
2023-01-04 14:00:00,800.3506,708.47974,302.98267
2023-01-04 15:00:00,674.05914,523.9669,302.42334
2023-01-04 16:00:00,490.05222,348.91,301.77026
2023-01-04 17:00:00,269.40222,162.68834,300.36304
2023-01-04 18:00:00,59.853333,44.285,298.80347
2023-01-04 19:00:00,0.0,0.07666667,297.44067
2023-01-04 20:00:00,,,297.07178
2023-01-04 21:00:00,,,296.30127
2023-01-04 22:00:00,,,295.6814
2023-01-04 23:00:00,,,295.26392
2023-01-05 00:00:00,,,294.77026
2023-01-05 01:00:00,,,294.75952
2023-01-05 02:00:00,,,294.5857
2023-01-05 03:00:00,,,294.35352
2023-01-05 04:00:00,,,294.29858
2023-01-05 05:00:00,,,294.19434
2023-01-05 06:00:00,,,294.13403
2023-01-05 07:00:00,0.0,0.0,294.93237
2023-01-05 08:00:00,164.96552,93.37057,295.79297
2023-01-05 09:00:00,388.06915,180.16278,296.823
2023-01-05 10:00:00,591.4131,377.5841,298.56738
2023-01-05 11:00:00,744.36975,499.23422,299.92163
2023-01-05 12:00:00,833.54193,592.2106,300.89453
2023-01-05 13:00:00,851.22723,625.6803,301.55493
2023-01-05 14:00:00,795.1617,597.81665,301.97583
2023-01-05 15:00:00,668.74335,385.075,301.46997
2023-01-05 16:00:00,484.4839,262.82693,300.73096
2023-01-05 17:00:00,267.13333,171.77528,299.906
2023-01-05 18:00:00,61.147778,40.27222,298.82935
2023-01-05 19:00:00,0.0,0.0,297.583
2023-01-05 20:00:00,,,297.33325
2023-01-05 21:00:00,,,297.04663
2023-01-05 22:00:00,,,296.64478
2023-01-05 23:00:00,,,296.25195
2023-01-06 00:00:00,,,296.0061
2023-01-06 01:00:00,,,295.73608
2023-01-06 02:00:00,,,295.55737
2023-01-06 03:00:00,,,295.41406
2023-01-06 04:00:00,,,295.49536
2023-01-06 05:00:00,,,294.98828
2023-01-06 06:00:00,,,294.4751
2023-01-06 07:00:00,0.0,0.0,295.1848
2023-01-06 08:00:00,162.27722,112.654755,296.43066
2023-01-06 09:00:00,382.67126,270.3752,297.6714
2023-01-06 10:00:00,583.60516,403.04602,298.67163
2023-01-06 11:00:00,736.1408,571.11017,299.88232
2023-01-06 12:00:00,824.83386,597.79,300.5254
2023-01-06 13:00:00,842.1689,583.0242,300.9839
2023-01-06 14:00:00,787.2,444.1747,300.63257
2023-01-06 15:00:00,663.80835,365.6725,300.28442
2023-01-06 16:00:00,484.5489,231.5425,299.60156
2023-01-06 17:00:00,269.05,117.513336,298.67505
2023-01-06 18:00:00,62.305557,24.008055,297.8152
2023-01-06 19:00:00,0.0,0.0,296.16138
2023-01-06 20:00:00,,,296.0835
2023-01-06 21:00:00,,,295.8452
2023-01-06 22:00:00,,,295.62744
2023-01-06 23:00:00,,,295.44116
2023-01-07 00:00:00,,,295.23242
2023-01-07 01:00:00,,,295.02026
2023-01-07 02:00:00,,,294.552
2023-01-07 03:00:00,,,294.1587
2023-01-07 04:00:00,,,293.85498
2023-01-07 05:00:00,,,293.54663
2023-01-07 06:00:00,,,293.27417
2023-01-07 07:00:00,0.0,0.0,293.16455
2023-01-07 08:00:00,164.4278,46.93995,293.61646
2023-01-07 09:00:00,386.34882,118.25607,294.03052
2023-01-07 10:00:00,587.5464,217.25946,294.49048
2023-01-07 11:00:00,740.32526,277.58673,295.11694
2023-01-07 12:00:00,829.8394,325.91165,295.64062
2023-01-07 13:00:00,847.425,297.1125,294.8506
2023-01-07 14:00:00,793.2225,230.84639,294.59985
2023-01-07 15:00:00,670.41693,296.68085,294.35693
2023-01-07 16:00:00,490.13443,213.91306,294.333
2023-01-07 17:00:00,272.2189,112.064445,294.08325
2023-01-07 18:00:00,63.281113,22.941668,293.34717
2023-01-07 19:00:00,0.0,0.0,293.41187
2023-01-07 20:00:00,,,293.27612
2023-01-07 21:00:00,,,292.95337
2023-01-07 22:00:00,,,292.60254
2023-01-07 23:00:00,,,292.52808
2023-01-08 00:00:00,,,292.3838
2023-01-08 01:00:00,,,292.26392
2023-01-08 02:00:00,,,292.1753
2023-01-08 03:00:00,,,292.0808
2023-01-08 04:00:00,,,291.9973
2023-01-08 05:00:00,,,291.8745
2023-01-08 06:00:00,,,291.7683
2023-01-08 07:00:00,0.0,0.0,292.40527
2023-01-08 08:00:00,167.59221,148.2159,293.99268
2023-01-08 09:00:00,388.82874,348.05502,295.52515
2023-01-08 10:00:00,589.01263,506.47873,297.25757
2023-01-08 11:00:00,741.5739,616.86646,298.62134
2023-01-08 12:00:00,830.60974,664.26526,299.92432
2023-01-08 13:00:00,847.69775,577.8936,300.4856
2023-01-08 14:00:00,790.9153,456.8603,299.97314
2023-01-08 15:00:00,665.31085,409.82,299.7959
2023-01-08 16:00:00,484.9061,358.27832,299.4995
2023-01-08 17:00:00,267.94724,220.28778,298.94922
2023-01-08 18:00:00,61.86,50.008335,296.82104
2023-01-08 19:00:00,0.0,0.0,297.36353
2023-01-08 20:00:00,,,296.34692
2023-01-08 21:00:00,,,295.5857
2023-01-08 22:00:00,,,295.01025
2023-01-08 23:00:00,,,294.48364
2023-01-09 00:00:00,,,294.34668
2023-01-09 01:00:00,,,294.18286
2023-01-09 02:00:00,,,293.85742
2023-01-09 03:00:00,,,293.57837
2023-01-09 04:00:00,,,293.40454
2023-01-09 05:00:00,,,293.31592
2023-01-09 06:00:00,,,293.16455
2023-01-09 07:00:00,0.0,0.0,293.84033
2023-01-09 08:00:00,163.07904,160.17868,296.17236
2023-01-09 09:00:00,384.91647,387.6923,298.45386
2023-01-09 10:00:00,585.43646,595.1718,300.03906
2023-01-09 11:00:00,737.2111,737.4839,301.42358
2023-01-09 12:00:00,825.73,748.7189,302.10352
2023-01-09 13:00:00,843.80585,757.2489,302.1123
2023-01-09 14:00:00,787.74084,638.3475,301.4226
2023-01-09 15:00:00,663.1625,466.80667,300.5127
2023-01-09 16:00:00,481.13443,358.08472,299.63232
2023-01-09 17:00:00,264.82443,234.91722,298.63452
2023-01-09 18:00:00,60.655556,47.69611,297.05005
2023-01-09 19:00:00,0.0,0.0,297.17847
2023-01-09 20:00:00,,,297.4319
2023-01-09 21:00:00,,,295.84082
2023-01-09 22:00:00,,,295.47314
2023-01-09 23:00:00,,,295.2356
2023-01-10 00:00:00,,,295.13525
2023-01-10 01:00:00,,,295.01343
2023-01-10 02:00:00,,,294.95532
2023-01-10 03:00:00,,,294.83984
2023-01-10 04:00:00,,,294.7937
2023-01-10 05:00:00,,,294.52075
2023-01-10 06:00:00,,,294.65723
2023-01-10 07:00:00,0.0,0.0,295.13843
2023-01-10 08:00:00,160.33899,72.65851,295.94238
2023-01-10 09:00:00,381.34796,172.8672,296.54834
2023-01-10 10:00:00,582.1055,238.58228,296.4873
2023-01-10 11:00:00,735.67584,309.53168,297.09546
2023-01-10 12:00:00,825.29553,315.05063,296.99194
2023-01-10 13:00:00,845.7778,317.2675,296.66187
2023-01-10 14:00:00,791.38416,234.32695,296.63232
2023-01-10 15:00:00,669.9764,212.42528,296.9724
2023-01-10 16:00:00,491.59778,196.34917,296.88306
2023-01-10 17:00:00,277.35333,88.19111,296.5171
2023-01-10 18:00:00,67.34778,26.2875,296.0276
2023-01-10 19:00:00,0.035555556,0.0,296.09473
2023-01-10 20:00:00,,,296.33423
2023-01-10 21:00:00,,,296.24683
2023-01-10 22:00:00,,,296.0056
2023-01-10 23:00:00,,,295.68286
2023-01-11 00:00:00,,,295.44043
2023-01-11 01:00:00,,,295.35547
2023-01-11 02:00:00,,,295.10083
2023-01-11 03:00:00,,,295.08447
2023-01-11 04:00:00,,,295.02173
2023-01-11 05:00:00,,,294.93066
2023-01-11 06:00:00,,,295.0354
2023-01-11 07:00:00,0.0,0.0,295.4651
2023-01-11 08:00:00,169.014,27.582777,295.61133
2023-01-11 09:00:00,392.46783,73.066025,295.43848
2023-01-11 10:00:00,593.5884,99.102295,295.9807
2023-01-11 11:00:00,747.42,152.98703,296.32642
2023-01-11 12:00:00,838.2206,346.0705,296.90332
2023-01-11 13:00:00,857.7953,573.1375,297.9712
2023-01-11 14:00:00,803.1272,361.68832,297.8977
2023-01-11 15:00:00,681.84,164.14444,295.9004
2023-01-11 16:00:00,505.24277,226.39473,296.2744
2023-01-11 17:00:00,286.73666,99.126945,295.9668
2023-01-11 18:00:00,72.72056,38.490833,295.43018
2023-01-11 19:00:00,-0.035555556,0.0,295.63965
2023-01-11 20:00:00,,,295.55298
2023-01-11 21:00:00,,,295.58618
2023-01-11 22:00:00,,,295.39502
2023-01-11 23:00:00,,,295.4099
2023-01-12 00:00:00,,,295.24243
2023-01-12 01:00:00,,,294.9729
2023-01-12 02:00:00,,,294.79688
2023-01-12 03:00:00,,,294.63257
2023-01-12 04:00:00,,,294.51953
2023-01-12 05:00:00,,,294.74072
2023-01-12 06:00:00,,,294.38892
2023-01-12 07:00:00,0.0,0.0,295.13696
2023-01-12 08:00:00,170.02977,91.78517,295.89868
2023-01-12 09:00:00,395.80527,251.54941,296.7124
2023-01-12 10:00:00,598.14246,340.05292,297.38696
2023-01-12 11:00:00,752.2211,499.62805,298.0774
2023-01-12 12:00:00,843.26697,495.38388,298.35278
2023-01-12 13:00:00,862.1556,374.57388,296.33447
2023-01-12 14:00:00,810.9686,466.4975,297.06958
2023-01-12 15:00:00,688.5025,374.84528,297.2412
2023-01-12 16:00:00,507.88388,259.1525,297.24365
2023-01-12 17:00:00,291.54834,160.43584,296.89697
2023-01-12 18:00:00,74.76,51.15972,296.25342
2023-01-12 19:00:00,0.0,0.0,295.44727
2023-01-12 20:00:00,,,295.70288
2023-01-12 21:00:00,,,295.6001
2023-01-12 22:00:00,,,295.3479
2023-01-12 23:00:00,,,295.25854
2023-01-13 00:00:00,,,295.167
2023-01-13 01:00:00,,,294.9099
2023-01-13 02:00:00,,,294.8916
2023-01-13 03:00:00,,,294.802
2023-01-13 04:00:00,,,294.77637
2023-01-13 05:00:00,,,294.71045
2023-01-13 06:00:00,,,294.6233
2023-01-13 07:00:00,0.0,0.0,294.8208
2023-01-13 08:00:00,160.17879,93.02302,295.76416
2023-01-13 09:00:00,382.87448,283.1365,296.8142
2023-01-13 10:00:00,586.5109,489.2477,298.0442
2023-01-13 11:00:00,741.5622,663.9286,298.93018
2023-01-13 12:00:00,833.1214,739.7822,299.56982
2023-01-13 13:00:00,852.73444,641.58276,299.80225
2023-01-13 14:00:00,799.1228,571.2072,299.72803
2023-01-13 15:00:00,678.55334,424.705,298.42432
2023-01-13 16:00:00,501.84778,349.72888,297.60815
2023-01-13 17:00:00,286.18277,211.43056,297.0769
2023-01-13 18:00:00,73.08889,52.168056,296.3557
2023-01-13 19:00:00,0.0,0.0175,296.3357
2023-01-13 20:00:00,,,296.70337
2023-01-13 21:00:00,,,296.4895
2023-01-13 22:00:00,,,295.7915
2023-01-13 23:00:00,,,294.76514
2023-01-14 00:00:00,,,294.23682
2023-01-14 01:00:00,,,294.48242
2023-01-14 02:00:00,,,294.2329
2023-01-14 03:00:00,,,294.042
2023-01-14 04:00:00,,,294.05713
2023-01-14 05:00:00,,,293.98096
2023-01-14 06:00:00,,,293.9646
2023-01-14 07:00:00,0.0,0.0,294.17773
2023-01-14 08:00:00,155.66998,136.4618,296.04297
2023-01-14 09:00:00,380.58417,366.91675,298.1604
2023-01-14 10:00:00,589.2489,572.9248,299.29712
2023-01-14 11:00:00,750.08307,732.36053,300.46582
2023-01-14 12:00:00,845.6608,813.2683,300.9839
2023-01-14 13:00:00,866.6275,795.0233,301.0515
2023-01-14 14:00:00,811.0775,633.52527,300.51636
2023-01-14 15:00:00,687.94086,586.12415,300.13623
2023-01-14 16:00:00,505.61835,439.19055,299.43408
2023-01-14 17:00:00,284.8,238.7889,298.45264
2023-01-14 18:00:00,71.91111,62.793335,297.20776
2023-01-14 19:00:00,0.0,-0.015555556,296.17822
2023-01-14 20:00:00,,,295.3291
2023-01-14 21:00:00,,,295.32544
2023-01-14 22:00:00,,,295.65723
2023-01-14 23:00:00,,,295.64307
2023-01-15 00:00:00,,,295.65967
2023-01-15 01:00:00,,,295.44385
2023-01-15 02:00:00,,,295.0271
2023-01-15 03:00:00,,,294.66113
2023-01-15 04:00:00,,,294.30542
2023-01-15 05:00:00,,,293.90112
2023-01-15 06:00:00,,,293.47876
2023-01-15 07:00:00,0.0,0.0,293.8523
2023-01-15 08:00:00,169.64632,139.36508,295.09375
2023-01-15 09:00:00,404.76306,401.45453,297.69727
2023-01-15 10:00:00,617.1673,617.0093,299.61475
2023-01-15 11:00:00,778.8,779.3233,300.79468
2023-01-15 12:00:00,873.6947,874.215,301.56177
2023-01-15 13:00:00,892.94336,893.3822,301.9265
2023-01-15 14:00:00,835.73444,834.8961,301.83936
2023-01-15 15:00:00,707.36475,652.2756,300.72363
2023-01-15 16:00:00,519.105,498.96445,299.87524
2023-01-15 17:00:00,293.5711,266.2678,298.73853
2023-01-15 18:00:00,75.51556,72.83722,296.98584
2023-01-15 19:00:00,0.0,0.0,296.16943
2023-01-15 20:00:00,,,295.36426
2023-01-15 21:00:00,,,295.85474
2023-01-15 22:00:00,,,294.25415
2023-01-15 23:00:00,,,294.13916
2023-01-16 00:00:00,,,294.2893
2023-01-16 01:00:00,,,294.1631
2023-01-16 02:00:00,,,293.8191
2023-01-16 03:00:00,,,293.4309
2023-01-16 04:00:00,,,293.17896
2023-01-16 05:00:00,,,292.9585
2023-01-16 06:00:00,,,292.76367
2023-01-16 07:00:00,0.0,0.0,293.16016
2023-01-16 08:00:00,168.9388,128.43896,294.47144
2023-01-16 09:00:00,401.57138,370.74573,297.95874
2023-01-16 10:00:00,610.97925,612.79736,299.50952
2023-01-16 11:00:00,768.36194,771.9468,300.7046
2023-01-16 12:00:00,860.3078,810.3764,301.4524
2023-01-16 13:00:00,879.5919,730.81586,301.66553
2023-01-16 14:00:00,825.2672,673.1111,301.51245
2023-01-16 15:00:00,698.01276,591.0833,300.9956
2023-01-16 16:00:00,509.96167,446.65778,300.35938
2023-01-16 17:00:00,284.89612,269.47833,299.3706
2023-01-16 18:00:00,72.706665,68.155,297.05273
2023-01-16 19:00:00,-0.017777778,0.0,296.2395
2023-01-16 20:00:00,,,295.33203
2023-01-16 21:00:00,,,295.18774
2023-01-16 22:00:00,,,295.0244
2023-01-16 23:00:00,,,294.75635
2023-01-17 00:00:00,,,294.71387
2023-01-17 01:00:00,,,294.56738
2023-01-17 02:00:00,,,294.26294
2023-01-17 03:00:00,,,294.00586
2023-01-17 04:00:00,,,293.7898
2023-01-17 05:00:00,,,293.72095
2023-01-17 06:00:00,,,293.66553
2023-01-17 07:00:00,0.0,0.0,293.57886
2023-01-17 08:00:00,158.64595,147.05832,296.57812
2023-01-17 09:00:00,384.85596,357.5768,298.45654
2023-01-17 10:00:00,596.1914,536.72046,299.58936
2023-01-17 11:00:00,760.29,667.9066,300.3645
2023-01-17 12:00:00,860.8039,846.93945,301.31104
2023-01-17 13:00:00,886.6314,800.19,301.84375
2023-01-17 14:00:00,835.18164,767.7125,302.17627
2023-01-17 15:00:00,710.73975,661.1042,302.21143
2023-01-17 16:00:00,526.18335,453.71445,301.58984
2023-01-17 17:00:00,302.62555,248.34445,300.146
2023-01-17 18:00:00,82.64056,76.132774,297.70093
2023-01-17 19:00:00,0.06722222,0.0,298.05444
2023-01-17 20:00:00,,,295.61255
2023-01-17 21:00:00,,,295.1643
2023-01-17 22:00:00,,,295.15576
2023-01-17 23:00:00,,,295.00903
2023-01-18 00:00:00,,,294.73438
2023-01-18 01:00:00,,,294.3418
2023-01-18 02:00:00,,,294.0957
2023-01-18 03:00:00,,,293.91724
2023-01-18 04:00:00,,,293.75537
2023-01-18 05:00:00,,,293.62646
2023-01-18 06:00:00,,,293.53784
2023-01-18 07:00:00,0.0,0.0,294.17773
2023-01-18 08:00:00,157.2975,145.42036,296.0525
2023-01-18 09:00:00,388.2933,346.40576,297.6145
2023-01-18 10:00:00,602.2336,590.773,298.93384
2023-01-18 11:00:00,766.42554,736.894,299.96582
2023-01-18 12:00:00,864.70557,833.5981,300.7173
2023-01-18 13:00:00,887.8447,849.9697,301.1267
2023-01-18 14:00:00,833.7803,807.9025,301.2849
2023-01-18 15:00:00,708.2183,692.69336,301.0879
2023-01-18 16:00:00,523.80444,508.6089,300.4563
2023-01-18 17:00:00,300.2811,287.26666,299.33936
2023-01-18 18:00:00,81.844444,80.39778,297.6809
2023-01-18 19:00:00,0.0,0.0,296.0625
2023-01-18 20:00:00,,,295.55542
2023-01-18 21:00:00,,,295.0813
2023-01-18 22:00:00,,,294.55054
2023-01-18 23:00:00,,,294.12598
2023-01-19 00:00:00,,,293.7644
2023-01-19 01:00:00,,,293.54346
2023-01-19 02:00:00,,,293.32397
2023-01-19 03:00:00,,,293.12793
2023-01-19 04:00:00,,,292.9673
