Datetime,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2023-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 00:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 00:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 01:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 01:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 02:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 03:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 03:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 04:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 04:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 05:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 05:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 06:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 06:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 07:00:00,4.378,1.1427,0.1406,1.0021,4.3693,1.1427,0.1406,1.0021,4.3693,0.7
2023-01-01 07:15:00,23.3764,8.5243,2.962,5.5623,41.5857,8.5243,2.962,5.5623,41.5857,0.5
2023-01-01 07:30:00,43.2441,19.8908,10.0227,9.8682,80.2535,19.8908,10.0227,9.8682,80.2535,0.9
2023-01-01 07:45:00,62.768,33.2386,19.9712,13.2674,111.2777,33.2386,19.9712,13.2674,111.2777,1.0
2023-01-01 08:00:00,81.8645,47.5485,31.6537,15.8948,135.6699,47.5485,31.6537,15.8948,135.6699,1.0
2023-01-01 08:15:00,100.4518,62.2426,44.2992,17.9434,154.9473,53.0225,28.625,24.3975,102.1233,1.0
2023-01-01 08:30:00,118.4503,76.9685,57.4146,19.5539,170.4201,72.4904,49.633,22.8574,146.123,1.0
2023-01-01 08:45:00,135.7831,91.489,70.6735,20.8155,183.0643,91.489,70.6735,20.8155,183.0643,1.0
2023-01-01 09:00:00,152.3759,105.6365,83.8894,21.7471,193.6746,105.6365,83.8894,21.7471,193.6746,1.0
2023-01-01 09:15:00,168.1577,119.2712,96.8806,22.3906,202.7043,119.2712,96.8806,22.3906,202.7043,1.0
2023-01-01 09:30:00,183.0609,132.2717,109.4429,22.8288,210.3655,132.2717,109.4429,22.8288,210.3655,1.0
2023-01-01 09:45:00,197.0218,144.5452,121.4505,23.0947,216.9179,144.5452,121.4505,23.0947,216.9179,0.7667
2023-01-01 10:00:00,209.9805,156.0129,132.7974,23.2155,222.5567,156.0129,132.7974,23.2155,222.5567,0.9
2023-01-01 10:15:00,221.8816,166.4689,142.9334,23.5356,226.7087,166.4689,142.9334,23.5356,226.7087,1.0
2023-01-01 10:30:00,232.6741,175.8581,151.7636,24.0946,229.5533,175.8581,151.7636,24.0946,229.5533,1.0
2023-01-01 10:45:00,242.3118,184.2679,159.6783,24.5896,231.9218,184.2679,159.6783,24.5896,231.9218,1.0
2023-01-01 11:00:00,250.7535,191.6515,166.6264,25.025,233.8685,191.6515,166.6264,25.025,233.8685,1.0
2023-01-01 11:15:00,257.963,197.9684,172.5643,25.4042,235.4355,197.9684,172.5643,25.4042,235.4355,1.0
2023-01-01 11:30:00,263.9093,203.1846,177.4553,25.7293,236.6548,203.1846,177.4553,25.7293,236.6548,1.0
2023-01-01 11:45:00,268.567,207.272,181.2699,26.0021,237.5505,207.272,181.2699,26.0021,237.5505,1.0
2023-01-01 12:00:00,271.9163,210.2088,183.985,26.2238,238.1396,210.2088,183.985,26.2238,238.1396,1.0
2023-01-01 12:15:00,273.9427,211.9793,185.5844,26.3949,238.4333,211.9793,185.5844,26.3949,238.4333,1.0
2023-01-01 12:30:00,274.6375,212.5739,186.0583,26.5157,238.4375,212.5739,186.0583,26.5157,238.4375,1.0
2023-01-01 12:45:00,273.9978,211.9892,185.4035,26.5857,238.153,211.9892,185.4035,26.5857,238.153,1.0
2023-01-01 13:00:00,272.0263,210.2276,183.6234,26.6042,237.5755,210.2276,183.6234,26.6042,237.5755,1.0
2023-01-01 13:15:00,268.7314,207.2802,180.6643,26.6159,236.612,207.2802,180.6643,26.6159,236.612,1.0
2023-01-01 13:30:00,264.1272,203.1618,176.5441,26.6176,235.2452,203.1618,176.5441,26.6176,235.2452,1.0
2023-01-01 13:45:00,258.2334,197.9105,171.3512,26.5593,233.5353,197.9105,171.3512,26.5593,233.5353,1.0
2023-01-01 14:00:00,251.0752,191.5534,165.1166,26.4368,231.4518,191.5534,165.1166,26.4368,231.4518,1.0
2023-01-01 14:15:00,242.6833,184.1236,157.8784,26.2452,228.9556,184.1236,157.8784,26.2452,228.9556,1.0
2023-01-01 14:30:00,233.0936,175.6605,149.6819,25.9786,225.9958,175.6605,149.6819,25.9786,225.9958,1.0
2023-01-01 14:45:00,222.3471,166.2098,140.5805,25.6293,222.5081,166.2098,140.5805,25.6293,222.5081,1.0
2023-01-01 15:00:00,210.4898,155.8241,130.6367,25.1874,218.4105,155.8241,130.6367,25.1874,218.4105,1.0
2023-01-01 15:15:00,197.5725,144.5628,119.923,24.6398,213.5986,144.5628,119.923,24.6398,213.5986,1.0
2023-01-01 15:30:00,183.6505,132.494,108.5247,23.9694,207.9381,132.494,108.5247,23.9694,207.9381,1.0
2023-01-01 15:45:00,168.7834,119.6956,96.5408,23.1548,201.2537,119.6956,96.5408,23.1548,201.2537,1.0
2023-01-01 16:00:00,153.0347,106.2593,84.0952,22.1641,193.3265,106.2593,84.0952,22.1641,193.3265,1.0
2023-01-01 16:15:00,136.4719,92.3005,71.363,20.9375,183.9328,92.3005,71.363,20.9375,183.9328,1.0
2023-01-01 16:30:00,119.166,77.9477,58.4857,19.462,172.5786,77.9477,58.4857,19.462,172.5786,1.0
2023-01-01 16:45:00,101.1909,63.3588,45.6453,17.7135,158.5212,63.3588,45.6453,17.7135,158.5212,1.0
2023-01-01 17:00:00,82.6236,48.7501,33.1328,15.6173,140.7545,48.7501,33.1328,15.6173,140.7545,1.0
2023-01-01 17:15:00,63.5436,34.4371,21.3922,13.0449,117.8258,34.4371,21.3922,13.0449,117.8258,1.0
2023-01-01 17:30:00,44.0326,20.9392,11.1392,9.8,87.7576,20.9392,11.1392,9.8,87.7576,1.0
