Datetime,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2023-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 00:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 00:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 01:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 01:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 02:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 03:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 03:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 04:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 04:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 05:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 05:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 06:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 06:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 07:00:00,11.109,2.885,0.3843,2.5008,8.2001,2.27,0.0168,2.2532,0.3592,0.5
2023-01-01 07:15:00,31.5866,10.9781,3.2953,7.6827,35.193,8.6535,0.168,8.4855,1.7453,0.7333
2023-01-01 07:30:00,51.8087,21.9939,9.3918,12.6021,62.9461,18.3255,3.1196,15.206,20.4042,1.0
2023-01-01 07:45:00,71.6885,34.8268,17.9547,16.8721,87.6273,30.6123,12.3976,18.2146,58.9074,1.0
2023-01-01 08:00:00,91.1411,48.6825,28.1697,20.5129,108.4459,48.6825,28.1697,20.5129,108.4459,1.0
2023-01-01 08:15:00,110.0831,63.0279,39.4039,23.6241,125.7553,63.0279,39.4039,23.6241,125.7553,1.0
2023-01-01 08:30:00,128.4335,77.5042,51.2093,26.2949,140.1747,77.5042,51.2093,26.2949,140.1747,1.0
2023-01-01 08:45:00,146.1137,91.8585,63.266,28.5925,152.28,91.8585,63.266,28.5925,152.28,1.0
2023-01-01 09:00:00,163.0481,105.9011,75.3323,30.5688,162.5284,105.9011,75.3323,30.5688,162.5284,1.0
2023-01-01 09:15:00,179.1642,119.4809,87.2146,32.2663,171.2643,119.4809,87.2146,32.2663,171.2643,1.0
2023-01-01 09:30:00,194.3929,132.4733,98.752,33.7213,178.7466,132.4733,98.752,33.7213,178.7466,1.0
2023-01-01 09:45:00,208.6691,144.7729,109.808,34.9649,185.1735,144.7729,109.808,34.9649,185.1735,0.7667
2023-01-01 10:00:00,221.9316,156.2898,120.2668,36.023,190.7003,156.2898,120.2668,36.023,190.7003,0.9
2023-01-01 10:15:00,234.1237,166.903,130.04,36.8631,195.4665,166.903,130.04,36.8631,195.4665,1.0
2023-01-01 10:30:00,245.1931,176.5417,139.045,37.4966,199.5722,176.5417,139.045,37.4966,199.5722,1.0
2023-01-01 10:45:00,255.0925,185.1902,147.2005,37.9897,203.0831,185.1902,147.2005,37.9897,203.0831,1.0
2023-01-01 11:00:00,263.7794,192.8002,154.4451,38.3551,206.064,192.8002,154.4451,38.3551,206.064,1.0
2023-01-01 11:15:00,271.2167,199.3301,160.7264,38.6036,208.5668,199.3301,160.7264,38.6036,208.5668,1.0
2023-01-01 11:30:00,277.3724,204.7453,166.0007,38.7446,210.6322,204.7453,166.0007,38.7446,210.6322,1.0
2023-01-01 11:45:00,282.2203,209.0175,170.2318,38.7857,212.292,199.4983,142.0476,57.4507,177.2598,1.0
2023-01-01 12:00:00,285.7396,212.1248,173.3912,38.7336,213.5699,207.4419,159.5026,47.9393,196.4071,1.0
2023-01-01 12:15:00,287.9152,214.0516,175.4579,38.5937,214.4833,190.3572,118.5477,71.8095,144.9968,1.0
2023-01-01 12:30:00,288.7376,214.7884,176.4183,38.3701,215.0433,185.0401,96.8344,88.2058,118.0316,1.0
2023-01-01 12:45:00,288.2036,214.332,176.266,38.0661,215.2559,207.8632,159.9089,47.9543,195.2689,1.0
2023-01-01 13:00:00,286.3152,212.6854,175.0018,37.6836,215.1214,192.811,117.1632,75.6478,143.9902,1.0
2023-01-01 13:15:00,283.0806,209.923,172.6384,37.2846,214.6405,184.0701,98.5786,85.4915,122.5599,1.0
2023-01-01 13:30:00,278.5135,206.0585,169.1906,36.8679,213.8022,195.2105,138.8965,56.314,175.5307,1.0
2023-01-01 13:45:00,272.6336,201.0464,164.6755,36.3708,212.5834,171.4581,84.0664,87.3917,108.4939,1.0
2023-01-01 14:00:00,265.466,194.9157,159.1383,35.7773,210.9803,175.8476,105.3697,70.4779,139.8815,1.0
2023-01-01 14:15:00,257.0414,187.6994,152.615,35.0844,208.961,178.7388,133.2852,45.4537,182.3403,1.0
2023-01-01 14:30:00,247.3958,179.4348,145.1351,34.2997,206.4641,175.4473,136.7682,38.6791,194.7152,1.0
2023-01-01 14:45:00,236.5706,170.1683,136.751,33.4173,203.4348,161.5734,119.9019,41.6714,178.0962,1.0
2023-01-01 15:00:00,224.6119,159.9537,127.5241,32.4296,199.8033,155.871,119.5493,36.3216,187.5245,1.0
2023-01-01 15:15:00,211.5711,148.8527,117.5264,31.3264,195.4815,148.8527,117.5264,31.3264,195.4815,1.0
2023-01-01 15:30:00,197.504,136.9364,106.8424,30.094,190.3582,133.6103,99.057,34.5533,176.1211,1.0
2023-01-01 15:45:00,182.4707,124.2867,95.5714,28.7153,184.2919,104.681,50.4721,54.209,97.1864,1.0
2023-01-01 16:00:00,166.5356,110.9978,83.8294,27.1684,177.0976,97.4498,53.3464,44.1034,113.2061,1.0
2023-01-01 16:15:00,149.7669,97.0836,71.5603,25.5233,168.067,96.6394,70.574,26.0654,165.8571,1.0
2023-01-01 16:30:00,132.2365,82.6921,58.9711,23.721,156.8139,82.6921,58.9711,23.721,156.8139,1.0
2023-01-01 16:45:00,114.0192,68.0957,46.4871,21.6086,143.2929,68.0957,46.4871,21.6086,143.2929,1.0
2023-01-01 17:00:00,95.1931,53.515,34.3886,19.1264,126.8381,53.515,34.3886,19.1264,126.8381,1.0
2023-01-01 17:15:00,75.8388,39.2574,23.0729,16.1845,106.5933,39.2574,23.0729,16.1845,106.5933,1.0
2023-01-01 17:30:00,56.0391,25.7823,13.1295,12.6528,81.6423,25.7823,13.1295,12.6528,81.6423,1.0
