Datetime,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2023-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 08:00:00,156.6536,65.7869,23.074,42.713,149.344,64.4935,22.5041,41.9894,146.399,0.7667
2023-01-01 09:00:00,450.3548,265.1972,150.7997,114.3975,459.2092,254.0106,132.4601,121.5505,407.2727,1.0
2023-01-01 10:00:00,701.4586,474.7383,319.2376,155.5008,637.2779,474.5825,318.9205,155.662,636.5193,0.9167
2023-01-01 11:00:00,892.8578,641.6219,460.4671,181.1548,725.26,641.6219,460.4671,181.1548,725.26,1.0
2023-01-01 12:00:00,1011.511,745.6892,545.9402,199.749,759.7141,745.6892,545.9402,199.749,759.7141,1.0
2023-01-01 13:00:00,1049.3314,778.4521,569.2727,209.1795,763.7471,778.4521,569.2727,209.1795,763.7471,1.0
2023-01-01 14:00:00,1003.7395,738.1014,532.8439,205.2576,747.1677,738.1014,532.8439,205.2576,747.1677,1.0
2023-01-01 15:00:00,877.839,628.0182,440.2306,187.7876,705.056,528.8049,273.0339,255.771,424.512,1.0
2023-01-01 16:00:00,680.2055,457.4395,299.8117,157.6278,617.1392,393.4557,197.5257,195.93,418.8162,1.0
2023-01-01 17:00:00,424.3017,248.7057,140.3574,108.3483,453.61,248.7057,140.3574,108.3483,453.61,1.0
2023-01-01 18:00:00,128.912,54.541,19.8446,34.6963,143.1224,54.541,19.8446,34.6963,143.1224,0.8583
2023-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
