# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-06-30T00:00:00.0
# Date end (ISO 8601): 2024-02-01T00:00:00.0
# Latitude (positive North, ISO 19115): 13.5188
# Longitude (positive East, ISO 19115): 100.7577
# Altitude (m): 8.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2025-07-14
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-06-30T00:00:00.0/2022-06-30T01:00:00.0;471.3372;286.6143;211.3326;75.2816;582.2455;235.7514;100.0083;135.7431;291.7784;1.0000
2022-06-30T01:00:00.0/2022-06-30T02:00:00.0;749.4080;503.3135;394.6712;108.6424;691.6908;496.8766;379.4469;117.4297;660.1764;1.0000
2022-06-30T02:00:00.0/2022-06-30T03:00:00.0;984.6917;693.3356;554.6589;138.6766;741.4301;693.3356;554.6589;138.6766;741.4301;0.9167
2022-06-30T03:00:00.0/2022-06-30T04:00:00.0;1161.1510;838.8612;674.4639;164.3973;764.9963;827.8016;634.4472;193.3544;719.7084;1.0000
2022-06-30T04:00:00.0/2022-06-30T05:00:00.0;1266.7565;926.8960;741.3929;185.5031;770.9818;906.6372;675.1199;231.5173;703.3196;1.0000
2022-06-30T05:00:00.0/2022-06-30T06:00:00.0;1294.3062;948.4555;745.9487;202.5069;759.1768;853.6572;435.4384;418.2187;443.1833;1.0000
2022-06-30T06:00:00.0/2022-06-30T07:00:00.0;1241.9191;904.1038;704.5659;199.5378;747.3008;863.3936;574.8886;288.5049;612.6387;1.0000
2022-06-30T07:00:00.0/2022-06-30T08:00:00.0;1113.1621;797.4656;620.4781;176.9874;733.9534;780.1498;573.0366;207.1131;674.0668;1.0000
2022-06-30T08:00:00.0/2022-06-30T09:00:00.0;916.8080;635.1388;485.1685;149.9704;695.9763;459.8588;149.7270;310.1318;213.1433;1.0000
2022-06-30T09:00:00.0/2022-06-30T10:00:00.0;666.2362;429.7155;309.0789;120.6366;606.6410;299.7485;62.5728;237.1757;121.6270;1.0000
2022-06-30T10:00:00.0/2022-06-30T11:00:00.0;378.5202;206.0385;124.9315;81.1070;417.2504;126.3292;8.5728;117.7564;28.9351;1.0000
2022-06-30T11:00:00.0/2022-06-30T12:00:00.0;83.7650;30.4091;10.5400;19.8692;86.1185;23.8504;1.0405;22.8099;12.1272;0.8667
2022-06-30T12:00:00.0/2022-06-30T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T13:00:00.0/2022-06-30T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T14:00:00.0/2022-06-30T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T15:00:00.0/2022-06-30T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T16:00:00.0/2022-06-30T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T17:00:00.0/2022-06-30T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T18:00:00.0/2022-06-30T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T19:00:00.0/2022-06-30T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T20:00:00.0/2022-06-30T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T21:00:00.0/2022-06-30T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T22:00:00.0/2022-06-30T23:00:00.0;0.3050;0.0572;0.0001;0.0571;0.0000;0.0444;0.0000;0.0444;0.0000;0.9833
2022-06-30T23:00:00.0/2022-07-01T00:00:00.0;168.1216;74.1091;35.5532;38.5559;212.4283;67.8278;25.5444;42.2833;129.1739;0.8500
2022-07-01T00:00:00.0/2022-07-01T01:00:00.0;470.2016;279.5757;188.4394;91.1362;518.0906;251.6476;130.4953;121.1523;359.3313;1.0000
2022-07-01T01:00:00.0/2022-07-01T02:00:00.0;748.5024;497.5159;371.6235;125.8924;651.3507;448.9348;254.3074;194.6274;453.2455;1.0000
2022-07-01T02:00:00.0/2022-07-01T03:00:00.0;984.0573;688.8038;537.4967;151.3071;718.6229;615.9416;338.5613;277.3803;458.9493;0.9167
2022-07-01T03:00:00.0/2022-07-01T04:00:00.0;1160.8103;833.8325;655.6382;178.1943;743.9437;807.3948;570.3913;237.0036;645.6069;1.0000
2022-07-01T04:00:00.0/2022-07-01T05:00:00.0;1266.7111;919.9964;710.4528;209.5436;738.8498;909.5245;671.9235;237.6010;699.1694;1.0000
2022-07-01T05:00:00.0/2022-07-01T06:00:00.0;1294.5375;939.9611;706.0839;233.8772;718.4399;906.8558;590.6558;316.2001;600.7678;1.0000
2022-07-01T06:00:00.0/2022-07-01T07:00:00.0;1242.3887;893.5876;653.2943;240.2933;692.5034;827.9399;445.9688;381.9711;473.7850;1.0000
2022-07-01T07:00:00.0/2022-07-01T08:00:00.0;1113.8154;784.2990;556.0844;228.2146;657.0404;783.8729;554.7430;229.1299;655.5532;1.0000
2022-07-01T08:00:00.0/2022-07-01T09:00:00.0;917.5771;618.8237;413.4525;205.3712;591.7909;473.9236;192.4932;281.4304;264.5176;0.9167
2022-07-01T09:00:00.0/2022-07-01T10:00:00.0;667.0452;412.2529;245.2736;166.9792;479.3940;338.1059;132.4775;205.6284;252.4167;1.0000
2022-07-01T10:00:00.0/2022-07-01T11:00:00.0;379.2902;192.4395;87.2606;105.1788;286.8366;153.5967;36.8918;116.7049;131.2119;1.0000
2022-07-01T11:00:00.0/2022-07-01T12:00:00.0;84.2604;27.9791;5.5953;22.3838;44.1978;26.8059;4.2391;22.5668;35.5631;0.8667
2022-07-01T12:00:00.0/2022-07-01T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T13:00:00.0/2022-07-01T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T14:00:00.0/2022-07-01T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T15:00:00.0/2022-07-01T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T16:00:00.0/2022-07-01T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T17:00:00.0/2022-07-01T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T18:00:00.0/2022-07-01T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T19:00:00.0/2022-07-01T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T20:00:00.0/2022-07-01T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T21:00:00.0/2022-07-01T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T22:00:00.0/2022-07-01T23:00:00.0;0.2587;0.0492;0.0009;0.0482;0.0000;0.0492;0.0009;0.0482;0.0000;0.9833
2022-07-01T23:00:00.0/2022-07-02T00:00:00.0;166.8053;76.1673;40.8924;35.2749;247.8293;71.7473;31.8046;39.9427;205.6232;0.8500
2022-07-02T00:00:00.0/2022-07-02T01:00:00.0;469.0747;284.8699;206.5768;78.2932;570.2487;237.9500;106.7250;131.2250;324.6521;1.0000
2022-07-02T01:00:00.0/2022-07-02T02:00:00.0;747.6193;504.4891;399.8882;104.6009;701.9453;399.7900;158.1756;241.6144;274.9132;1.0000
2022-07-02T02:00:00.0/2022-07-02T03:00:00.0;983.4556;697.4571;573.8925;123.5645;767.8116;552.0603;221.4759;330.5844;291.4999;0.9167
2022-07-02T03:00:00.0/2022-07-02T04:00:00.0;1160.5078;843.8721;699.4292;144.4429;793.7854;783.8187;504.6710;279.1476;573.6390;1.0000
2022-07-02T04:00:00.0/2022-07-02T05:00:00.0;1266.7047;931.0461;762.3984;168.6477;792.8239;914.2172;699.7690;214.4482;726.7178;1.0000
2022-07-02T05:00:00.0/2022-07-02T06:00:00.0;1294.8036;952.1685;764.0718;188.0967;777.2653;884.8060;533.1315;351.6745;542.3173;1.0000
2022-07-02T06:00:00.0/2022-07-02T07:00:00.0;1242.8846;906.7257;715.2759;191.4498;757.9430;697.7961;244.1994;453.5967;257.3617;1.0000
2022-07-02T07:00:00.0/2022-07-02T08:00:00.0;1114.4822;798.2944;619.7227;178.5718;731.9765;617.0051;216.0085;400.9966;252.1459;1.0000
2022-07-02T08:00:00.0/2022-07-02T09:00:00.0;918.3439;634.2539;474.7268;159.5272;679.4590;327.9577;36.3660;291.5917;52.4303;1.0000
2022-07-02T09:00:00.0/2022-07-02T10:00:00.0;667.8339;430.1375;300.0608;130.0767;587.7794;291.0993;60.2783;230.8210;120.6132;1.0000
2022-07-02T10:00:00.0/2022-07-02T11:00:00.0;380.0211;209.5670;124.3167;85.2503;414.7021;89.0418;6.0541;82.9877;16.3446;1.0000
2022-07-02T11:00:00.0/2022-07-02T12:00:00.0;84.7154;31.9989;11.1329;20.8659;90.9140;16.5741;0.1615;16.4126;1.3117;0.8667
2022-07-02T12:00:00.0/2022-07-02T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T13:00:00.0/2022-07-02T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T14:00:00.0/2022-07-02T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T15:00:00.0/2022-07-02T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T16:00:00.0/2022-07-02T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T17:00:00.0/2022-07-02T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T18:00:00.0/2022-07-02T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T19:00:00.0/2022-07-02T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T20:00:00.0/2022-07-02T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T21:00:00.0/2022-07-02T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T22:00:00.0/2022-07-02T23:00:00.0;0.2118;0.0393;0.0015;0.0378;0.0000;0.0393;0.0015;0.0378;0.0000;0.9833
2022-07-02T23:00:00.0/2022-07-03T00:00:00.0;165.4829;74.4720;37.3387;37.1333;225.3856;74.4720;37.3387;37.1333;225.3856;0.8500
2022-07-03T00:00:00.0/2022-07-03T01:00:00.0;467.9581;282.4182;197.3660;85.0522;545.2713;282.4182;197.3660;85.0522;545.2713;1.0000
2022-07-03T01:00:00.0/2022-07-03T02:00:00.0;746.7601;502.4744;388.9398;113.5346;683.2769;427.9304;261.3107;166.6197;481.5735;1.0000
