Datetime,ssrdc,ssrd,t2m,v10,u10,I,Temperature,Wind speed,Wind direction,Iclr
2023-01-01 00:00:00,,,,,,0.0,,,,0.0
2023-01-01 00:15:00,,,,,,0.0,,,,0.0
2023-01-01 00:30:00,,,,,,0.0,,,,0.0
2023-01-01 00:45:00,,,,,,0.0,,,,0.0
2023-01-01 01:00:00,,,,,,0.0,,,,0.0
2023-01-01 01:15:00,,,,,,0.0,,,,0.0
2023-01-01 01:30:00,,,,,,0.0,,,,0.0
2023-01-01 01:45:00,,,,,,0.0,,,,0.0
2023-01-01 02:00:00,,,,,,0.0,,,,0.0
2023-01-01 02:15:00,,,,,,0.0,,,,0.0
2023-01-01 02:30:00,,,,,,0.0,,,,0.0
2023-01-01 02:45:00,,,,,,0.0,,,,0.0
2023-01-01 03:00:00,,,,,,0.0,,,,0.0
2023-01-01 03:15:00,,,,,,0.0,,,,0.0
2023-01-01 03:30:00,,,,,,0.0,,,,0.0
2023-01-01 03:45:00,,,,,,0.0,,,,0.0
2023-01-01 04:00:00,,,,,,0.0,,,,0.0
2023-01-01 04:15:00,,,,,,0.0,,,,0.0
2023-01-01 04:30:00,,,,,,0.0,,,,0.0
2023-01-01 04:45:00,,,,,,0.0,,,,0.0
2023-01-01 05:00:00,,,,,,0.0,,,,0.0
2023-01-01 05:15:00,,,,,,0.0,,,,0.0
2023-01-01 05:30:00,,,,,,0.0,,,,0.0
2023-01-01 05:45:00,,,,,,0.0,,,,0.0
2023-01-01 06:00:00,,,,,,0.0,,,,0.0
2023-01-01 06:15:00,,,,,,0.0,,,,0.0
2023-01-01 06:30:00,,,,,,0.0,,,,0.0
2023-01-01 06:45:00,,,,,,0.0,,,,0.0
2023-01-01 07:00:00,0.0,0.0,288.3391,-0.82329464,-0.5583029,5.976166666666667,,,,0.0
2023-01-01 07:15:00,,,,,,26.8615,288.26,0.34,283.06,11.1372050616949
2023-01-01 07:30:00,,,,,,38.89533333333334,288.87,0.25,271.68,48.56549914390321
2023-01-01 07:45:00,,,,,,61.72533333333333,289.49,0.18,249.57,99.07534926258784
2023-01-01 08:00:00,67.68679,53.676666,291.0481,-0.519948,-0.47109318,75.17916666666666,290.1,0.15,212.82,154.42983379618283
2023-01-01 08:15:00,,,,,,71.72916666666667,290.71,0.2,180.83,211.1680295195195
2023-01-01 08:30:00,,,,,,104.474,291.33,0.28,163.71,267.62659512793533
2023-01-01 08:45:00,,,,,,249.93,291.94,0.37,154.65,322.8600851103545
2023-01-01 09:00:00,260.61572,170.05605,293.26,0.06252384,-0.44527817,375.777,292.55,0.47,149.31,376.24781911343774
2023-01-01 09:15:00,,,,,,275.12766666666664,293.17,0.57,145.84,427.3347335672848
2023-01-01 09:30:00,,,,,,457.356,293.78,0.67,143.42,475.76022539863146
2023-01-01 09:45:00,,,,,,515.6636666666667,294.39,0.78,141.64,521.2236666447151
2023-01-01 10:00:00,460.08527,343.55563,295.156,1.0289593,-0.74980736,559.7766666666668,295.01,0.88,140.28,563.4666139919816
2023-01-01 10:15:00,,,,,,609.2351666666667,295.35,0.91,140.54,602.2631956539099
2023-01-01 10:30:00,,,,,,646.9069999999999,295.69,0.93,140.79,637.4147495830874
2023-01-01 10:45:00,,,,,,673.9818333333333,296.04,0.95,141.02,668.7467796382556
2023-01-01 11:00:00,623.00195,462.0786,296.2002,1.2992439,-0.76039124,710.978,296.38,0.98,141.24,696.1072223131437
2023-01-01 11:15:00,,,,,,731.8266666666666,296.73,1.0,141.46,719.3654730859542
2023-01-01 11:30:00,,,,,,762.5573333333333,297.07,1.03,141.66,738.4118583279245
2023-01-01 11:45:00,,,,,,782.7923333333333,297.41,1.05,141.85,753.1573674034496
2023-01-01 12:00:00,726.9011,400.32584,296.7102,1.2640238,-0.78175354,788.9656666666667,297.76,1.07,142.03,763.533532534499
2023-01-01 12:15:00,,,,,,822.0438333333333,298.1,1.1,142.21,769.4923870986712
2023-01-01 12:30:00,,,,,,820.2495,298.45,1.12,142.38,771.0064596693093
2023-01-01 12:45:00,,,,,,804.7763333333334,298.79,1.15,142.54,768.0687785200316
2023-01-01 13:00:00,759.21277,393.27805,297.17822,1.4163542,-0.76250076,818.5996666666667,299.13,1.17,142.7,760.6928736409086
2023-01-01 13:15:00,,,,,,822.2115,299.07,1.16,141.88,748.912773144224
2023-01-01 13:30:00,,,,,,780.5681666666666,299.0,1.15,141.06,732.783000178778
2023-01-01 13:45:00,,,,,,750.1811666666667,298.93,1.14,140.23,712.3785868726078
2023-01-01 14:00:00,723.0589,600.30585,298.33667,1.3873854,-0.6568537,709.7071666666667,298.86,1.14,139.38,687.7951354423923
2023-01-01 14:15:00,,,,,,656.3231666666667,298.79,1.13,138.52,659.1489764154185
2023-01-01 14:30:00,,,,,,641.234,298.72,1.12,137.65,626.5775048143271
2023-01-01 14:45:00,,,,,,609.3528333333333,298.65,1.11,136.77,590.2398259165072
2023-01-01 15:00:00,614.94806,483.46945,298.43945,1.1852446,-0.5572672,559.42,298.58,1.11,135.87,550.3179292762778
2023-01-01 15:15:00,,,,,,459.2646666666667,298.51,1.1,134.96,507.0187653912374
2023-01-01 15:30:00,,,,,,457.4101666666666,298.45,1.09,134.05,460.5778900581243
2023-01-01 15:45:00,,,,,,384.2223333333333,298.38,1.09,133.12,411.2659104472171
2023-01-01 16:00:00,449.385,361.62112,298.22412,0.9432392,-0.7245321,351.4183333333333,298.31,1.08,132.18,359.40014211205823
